Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,4,84815,0.35
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,all,84745,1.0
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,3+,46610,0.55
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,1,12712,0.15
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,2,25424,0.3
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,3,33898,0.4
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,4,12712,0.15
Mar 2026,SSD,14203031,Jonglei,Pochalla,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,all,84745,1.0
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,3+,46610,0.55
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,1,12712,0.15
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,2,25424,0.3
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,3,33898,0.4
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,4,12712,0.15
Mar 2026,SSD,14203031,Jonglei,Pochalla,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,all,132529,1.0
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,3+,86144,0.65
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,1,19879,0.15
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,2,26506,0.2
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,3,53012,0.4
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,4,33132,0.25
Mar 2026,SSD,14203031,Jonglei,Twic East,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Twic East,second projection,2026-04-01,2026-07-31,all,132529,1.0
Mar 2026,SSD,14203031,Jonglei,Twic East,second projection,2026-04-01,2026-07-31,3+,86144,0.65
Mar 2026,SSD,14203031,Jonglei,Twic East,second projection,2026-04-01,2026-07-31,1,19879,0.15
Mar 2026,SSD,14203031,Jonglei,Twic East,second projection,2026-04-01,2026-07-31,2,26506,0.2
